university name,program,country,gre score,toefl score,cgpa,deadline,required documents,tuition fee,chance of admit
university of edinburgh,Machine Learning,UK,333,119,9.15,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.76
rwth aachen,Engineering,Germany,292,92,6.81,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
university of cambridge,Data Science,UK,326,92,7.03,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.3
eth zurich,Computer Science,Switzerland,296,110,6.66,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.33
university of manchester,Data Analytics,UK,310,102,7.32,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.41
university of manchester,Data Analytics,UK,298,96,9.03,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.33
university of cambridge,Data Science,UK,328,103,8.08,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.45
university of melbourne,AI & ML,Australia,307,94,6.82,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.33
university of toronto,Computer Science,Canada,293,92,9.51,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.38
university of melbourne,AI & ML,Australia,314,92,9.52,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.62
university of cambridge,Data Science,UK,303,99,9.48,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.55
university of edinburgh,Machine Learning,UK,339,101,6.96,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.38
carnegie mellon university,AI & Machine Learning,USA,298,102,7.8,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.35
university of waterloo,Software Engineering,Canada,315,103,9.94,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.63
university of waterloo,Software Engineering,Canada,291,104,9.09,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.59
university of manchester,Data Analytics,UK,309,103,6.11,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.31
rwth aachen,Engineering,Germany,317,105,6.26,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.31
mit,Computer Science,USA,336,93,7.86,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.44
university of manchester,Data Analytics,UK,296,110,9.64,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.51
mcgill university,Engineering,Canada,333,109,8.15,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.74
mit,Computer Science,USA,297,94,7.99,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",55000,0.38
mcgill university,Engineering,Canada,336,114,6.42,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.63
mcgill university,Engineering,Canada,324,108,8.63,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.52
university of manchester,Data Analytics,UK,303,117,9.29,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.66
university of manchester,Data Analytics,UK,306,99,7.52,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.39
university of edinburgh,Machine Learning,UK,325,117,9.1,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.82
university of manchester,Data Analytics,UK,339,101,9.86,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.81
rwth aachen,Engineering,Germany,329,117,6.82,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.52
uc berkeley,Electrical Engineering,USA,293,93,8.09,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.33
heidelberg university,Data Science,Germany,291,110,7.15,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.31
university of manchester,Data Analytics,UK,295,100,9.17,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.44
university of toronto,Computer Science,Canada,331,98,8.31,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.52
eth zurich,Computer Science,Switzerland,293,95,8.54,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.3
university of toronto,Computer Science,Canada,318,117,9.19,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.59
heidelberg university,Data Science,Germany,307,112,7.58,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.52
mcgill university,Engineering,Canada,315,109,9.66,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.57
university of cambridge,Data Science,UK,333,104,8.13,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.63
tu munich,Computer Science,Germany,323,102,6.63,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.37
university of manchester,Data Analytics,UK,299,115,8.78,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.59
tu munich,Computer Science,Germany,325,95,9.17,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.61
university of manchester,Data Analytics,UK,303,116,7.27,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.42
university of toronto,Computer Science,Canada,320,112,9.43,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.53
mcgill university,Engineering,Canada,337,116,9.62,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.9
tu munich,Computer Science,Germany,304,95,7.11,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
mcgill university,Engineering,Canada,297,101,9.93,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.51
stanford university,Data Science,USA,303,96,6.56,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.36
carnegie mellon university,AI & Machine Learning,USA,312,100,6.81,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.39
rwth aachen,Engineering,Germany,329,115,6.74,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.55
university of edinburgh,Machine Learning,UK,310,94,9.58,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.45
university of manchester,Data Analytics,UK,305,108,8.62,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.55
uc berkeley,Electrical Engineering,USA,334,94,6.61,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.5
university of edinburgh,Machine Learning,UK,307,107,7.76,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.46
rwth aachen,Engineering,Germany,336,95,8.46,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.59
imperial college london,AI & Robotics,UK,313,109,6.33,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.3
mcgill university,Engineering,Canada,315,108,9.53,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.56
imperial college london,AI & Robotics,UK,314,98,9.21,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.46
mcgill university,Engineering,Canada,334,115,8.02,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.65
university of cambridge,Data Science,UK,330,114,9.87,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.75
university of manchester,Data Analytics,UK,318,96,7.67,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.5
eth zurich,Computer Science,Switzerland,304,103,9.94,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.47
mcgill university,Engineering,Canada,334,108,8.67,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.72
mcgill university,Engineering,Canada,290,114,8.54,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.35
university of manchester,Data Analytics,UK,314,104,6.66,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.39
university of sydney,Data Science,Australia,296,114,9.53,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.44
eth zurich,Computer Science,Switzerland,298,116,7.71,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.42
university of melbourne,AI & ML,Australia,313,94,6.65,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.3
heidelberg university,Data Science,Germany,290,100,6.05,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
imperial college london,AI & Robotics,UK,333,108,8.24,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.53
university of manchester,Data Analytics,UK,297,108,8.11,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.4
university of melbourne,AI & ML,Australia,313,111,8.88,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.58
rwth aachen,Engineering,Germany,300,107,9.56,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.41
heidelberg university,Data Science,Germany,306,116,6.32,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.47
mcgill university,Engineering,Canada,297,113,8.93,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.51
mcgill university,Engineering,Canada,324,104,6.75,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.56
university of waterloo,Software Engineering,Canada,324,118,9.43,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.79
harvard university,Business Analytics,USA,322,110,9.28,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.76
university of british columbia,Data Science,Canada,294,108,8.16,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.47
carnegie mellon university,AI & Machine Learning,USA,331,95,8.84,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.56
university of oxford,Computer Science,UK,328,103,7.26,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.53
mcgill university,Engineering,Canada,330,100,7.88,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.52
university of manchester,Data Analytics,UK,317,110,9.29,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.67
heidelberg university,Data Science,Germany,296,103,7.84,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.41
university of waterloo,Software Engineering,Canada,298,100,7.43,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.39
mcgill university,Engineering,Canada,297,98,7.98,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.49
university of manchester,Data Analytics,UK,301,119,9.31,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.71
mcgill university,Engineering,Canada,323,105,7.34,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.47
university of british columbia,Data Science,Canada,322,111,6.7,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",26000,0.42
imperial college london,AI & Robotics,UK,337,110,8.85,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",36000,0.71
mcgill university,Engineering,Canada,312,117,9.3,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.7
uc berkeley,Electrical Engineering,USA,313,106,6.4,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",44000,0.36
university of oxford,Computer Science,UK,326,107,6.96,"Feb 01, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.65
university of sydney,Data Science,Australia,324,112,6.57,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.53
university of manchester,Data Analytics,UK,333,96,7.39,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.56
university of melbourne,AI & ML,Australia,329,94,7.8,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.56
university of toronto,Computer Science,Canada,311,103,9.0,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.44
university of melbourne,AI & ML,Australia,316,116,8.6,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",36000,0.6
mcgill university,Engineering,Canada,324,111,8.48,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.56
university of edinburgh,Machine Learning,UK,290,118,7.41,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",27000,0.41
stanford university,Data Science,USA,324,112,9.37,"Aug 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",57000,0.74
eth zurich,Computer Science,Switzerland,326,95,7.89,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.48
eth zurich,Computer Science,Switzerland,336,112,9.92,"Jan 15, 2026","SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal",1500,0.77
university of toronto,Computer Science,Canada,303,114,8.54,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",28000,0.49
tu munich,Computer Science,Germany,292,107,6.51,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.38
university of oxford,Computer Science,UK,290,116,8.7,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",38000,0.46
rwth aachen,Engineering,Germany,294,98,7.3,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.3
carnegie mellon university,AI & Machine Learning,USA,315,104,8.75,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.51
harvard university,Business Analytics,USA,303,112,6.28,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",54000,0.43
carnegie mellon university,AI & Machine Learning,USA,328,101,6.7,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof",58000,0.42
university of waterloo,Software Engineering,Canada,316,117,9.42,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",22000,0.57
mcgill university,Engineering,Canada,298,98,6.91,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.33
mcgill university,Engineering,Canada,304,105,9.35,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.58
university of sydney,Data Science,Australia,304,117,7.12,"Dec 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance",35000,0.42
tu munich,Computer Science,Germany,315,96,8.57,"Feb 01, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.42
university of manchester,Data Analytics,UK,331,94,8.78,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.51
tu munich,Computer Science,Germany,302,114,8.05,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof",500,0.48
university of cambridge,Data Science,UK,321,102,7.22,"Jan 31, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.47
university of manchester,Data Analytics,UK,328,102,6.85,"Jun 30, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",24000,0.59
mcgill university,Engineering,Canada,338,109,6.13,"Jul 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.57
university of cambridge,Data Science,UK,321,106,7.22,"Dec 15, 2024","SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof",37000,0.53
mcgill university,Engineering,Canada,293,103,8.61,"Jan 15, 2025","SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit",24000,0.39
