id,content
12,"university of waterloo in Canada offers the program Software Engineering.      Admission Requirements:     - GRE Score: 325     - TOEFL Score: 93     - Minimum CGPA: 8.24      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 22000      Admission Insight:     - Chance of Admission: 0.46"
13,"university of cambridge in UK offers the program Data Science.      Admission Requirements:     - GRE Score: 329     - TOEFL Score: 111     - Minimum CGPA: 8.09      Application Details:     - Deadline: Jan 31, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 37000      Admission Insight:     - Chance of Admission: 0.53"
14,"university of sydney in Australia offers the program Data Science.      Admission Requirements:     - GRE Score: 313     - TOEFL Score: 101     - Minimum CGPA: 6.46      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 35000      Admission Insight:     - Chance of Admission: 0.38"
15,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 292     - TOEFL Score: 117     - Minimum CGPA: 9.44      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.59"
16,"uc berkeley in USA offers the program Electrical Engineering.      Admission Requirements:     - GRE Score: 311     - TOEFL Score: 110     - Minimum CGPA: 8.89      Application Details:     - Deadline: Aug 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 44000      Admission Insight:     - Chance of Admission: 0.5"
17,"imperial college london in UK offers the program AI & Robotics.      Admission Requirements:     - GRE Score: 291     - TOEFL Score: 117     - Minimum CGPA: 6.27      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.3"
18,"stanford university in USA offers the program Data Science.      Admission Requirements:     - GRE Score: 313     - TOEFL Score: 92     - Minimum CGPA: 8.83      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 57000      Admission Insight:     - Chance of Admission: 0.43"
19,"university of oxford in UK offers the program Computer Science.      Admission Requirements:     - GRE Score: 333     - TOEFL Score: 115     - Minimum CGPA: 8.17      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 38000      Admission Insight:     - Chance of Admission: 0.66"
20,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 319     - TOEFL Score: 96     - Minimum CGPA: 6.33      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.33"
21,"imperial college london in UK offers the program AI & Robotics.      Admission Requirements:     - GRE Score: 327     - TOEFL Score: 104     - Minimum CGPA: 7.83      Application Details:     - Deadline: Aug 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.57"
22,"university of melbourne in Australia offers the program AI & ML.      Admission Requirements:     - GRE Score: 291     - TOEFL Score: 95     - Minimum CGPA: 7.94      Application Details:     - Deadline: Jan 31, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.3"
23,"university of sydney in Australia offers the program Data Science.      Admission Requirements:     - GRE Score: 310     - TOEFL Score: 107     - Minimum CGPA: 6.66      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 35000      Admission Insight:     - Chance of Admission: 0.53"
24,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 322     - TOEFL Score: 115     - Minimum CGPA: 9.78      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.77"
25,"imperial college london in UK offers the program AI & Robotics.      Admission Requirements:     - GRE Score: 301     - TOEFL Score: 107     - Minimum CGPA: 9.4      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.47"
26,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 311     - TOEFL Score: 114     - Minimum CGPA: 8.68      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.58"
27,"stanford university in USA offers the program Data Science.      Admission Requirements:     - GRE Score: 333     - TOEFL Score: 93     - Minimum CGPA: 7.85      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 57000      Admission Insight:     - Chance of Admission: 0.47"
28,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 314     - TOEFL Score: 108     - Minimum CGPA: 7.65      Application Details:     - Deadline: Jan 15, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.47"
29,"carnegie mellon university in USA offers the program AI & Machine Learning.      Admission Requirements:     - GRE Score: 338     - TOEFL Score: 119     - Minimum CGPA: 8.6      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 58000      Admission Insight:     - Chance of Admission: 0.66"
30,"carnegie mellon university in USA offers the program AI & Machine Learning.      Admission Requirements:     - GRE Score: 316     - TOEFL Score: 118     - Minimum CGPA: 8.18      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 58000      Admission Insight:     - Chance of Admission: 0.72"
31,"university of sydney in Australia offers the program Data Science.      Admission Requirements:     - GRE Score: 331     - TOEFL Score: 111     - Minimum CGPA: 6.25      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 35000      Admission Insight:     - Chance of Admission: 0.48"
32,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 317     - TOEFL Score: 115     - Minimum CGPA: 8.05      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.58"
33,"imperial college london in UK offers the program AI & Robotics.      Admission Requirements:     - GRE Score: 305     - TOEFL Score: 103     - Minimum CGPA: 9.23      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.55"
34,"eth zurich in Switzerland offers the program Computer Science.      Admission Requirements:     - GRE Score: 304     - TOEFL Score: 109     - Minimum CGPA: 7.84      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal      Financial Information:     - Tuition Fee: 1500      Admission Insight:     - Chance of Admission: 0.4"
35,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 336     - TOEFL Score: 94     - Minimum CGPA: 6.21      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.49"
36,"university of edinburgh in UK offers the program Machine Learning.      Admission Requirements:     - GRE Score: 333     - TOEFL Score: 119     - Minimum CGPA: 9.15      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 27000      Admission Insight:     - Chance of Admission: 0.76"
37,"rwth aachen in Germany offers the program Engineering.      Admission Requirements:     - GRE Score: 292     - TOEFL Score: 92     - Minimum CGPA: 6.81      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.3"
38,"university of cambridge in UK offers the program Data Science.      Admission Requirements:     - GRE Score: 326     - TOEFL Score: 92     - Minimum CGPA: 7.03      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 37000      Admission Insight:     - Chance of Admission: 0.3"
39,"eth zurich in Switzerland offers the program Computer Science.      Admission Requirements:     - GRE Score: 296     - TOEFL Score: 110     - Minimum CGPA: 6.66      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal      Financial Information:     - Tuition Fee: 1500      Admission Insight:     - Chance of Admission: 0.33"
40,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 310     - TOEFL Score: 102     - Minimum CGPA: 7.32      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.41"
41,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 298     - TOEFL Score: 96     - Minimum CGPA: 9.03      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.33"
42,"university of cambridge in UK offers the program Data Science.      Admission Requirements:     - GRE Score: 328     - TOEFL Score: 103     - Minimum CGPA: 8.08      Application Details:     - Deadline: Dec 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 37000      Admission Insight:     - Chance of Admission: 0.45"
43,"university of melbourne in Australia offers the program AI & ML.      Admission Requirements:     - GRE Score: 307     - TOEFL Score: 94     - Minimum CGPA: 6.82      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.33"
44,"university of toronto in Canada offers the program Computer Science.      Admission Requirements:     - GRE Score: 293     - TOEFL Score: 92     - Minimum CGPA: 9.51      Application Details:     - Deadline: Jan 15, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 28000      Admission Insight:     - Chance of Admission: 0.38"
45,"university of melbourne in Australia offers the program AI & ML.      Admission Requirements:     - GRE Score: 314     - TOEFL Score: 92     - Minimum CGPA: 9.52      Application Details:     - Deadline: Aug 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS Report, Financial Proof, Health Insurance      Financial Information:     - Tuition Fee: 36000      Admission Insight:     - Chance of Admission: 0.62"
46,"university of cambridge in UK offers the program Data Science.      Admission Requirements:     - GRE Score: 303     - TOEFL Score: 99     - Minimum CGPA: 9.48      Application Details:     - Deadline: Jul 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 37000      Admission Insight:     - Chance of Admission: 0.55"
47,"university of edinburgh in UK offers the program Machine Learning.      Admission Requirements:     - GRE Score: 339     - TOEFL Score: 101     - Minimum CGPA: 6.96      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 27000      Admission Insight:     - Chance of Admission: 0.38"
48,"carnegie mellon university in USA offers the program AI & Machine Learning.      Admission Requirements:     - GRE Score: 298     - TOEFL Score: 102     - Minimum CGPA: 7.8      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 58000      Admission Insight:     - Chance of Admission: 0.35"
49,"university of waterloo in Canada offers the program Software Engineering.      Admission Requirements:     - GRE Score: 315     - TOEFL Score: 103     - Minimum CGPA: 9.94      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 22000      Admission Insight:     - Chance of Admission: 0.63"
50,"university of waterloo in Canada offers the program Software Engineering.      Admission Requirements:     - GRE Score: 291     - TOEFL Score: 104     - Minimum CGPA: 9.09      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 22000      Admission Insight:     - Chance of Admission: 0.59"
51,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 309     - TOEFL Score: 103     - Minimum CGPA: 6.11      Application Details:     - Deadline: Aug 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.31"
52,"rwth aachen in Germany offers the program Engineering.      Admission Requirements:     - GRE Score: 317     - TOEFL Score: 105     - Minimum CGPA: 6.26      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.31"
53,"mit in USA offers the program Computer Science.      Admission Requirements:     - GRE Score: 336     - TOEFL Score: 93     - Minimum CGPA: 7.86      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 55000      Admission Insight:     - Chance of Admission: 0.44"
54,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 296     - TOEFL Score: 110     - Minimum CGPA: 9.64      Application Details:     - Deadline: Dec 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.51"
55,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 333     - TOEFL Score: 109     - Minimum CGPA: 8.15      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.74"
56,"mit in USA offers the program Computer Science.      Admission Requirements:     - GRE Score: 297     - TOEFL Score: 94     - Minimum CGPA: 7.99      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 55000      Admission Insight:     - Chance of Admission: 0.38"
57,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 336     - TOEFL Score: 114     - Minimum CGPA: 6.42      Application Details:     - Deadline: Jan 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.63"
58,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 324     - TOEFL Score: 108     - Minimum CGPA: 8.63      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.52"
59,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 303     - TOEFL Score: 117     - Minimum CGPA: 9.29      Application Details:     - Deadline: Jan 15, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.66"
60,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 306     - TOEFL Score: 99     - Minimum CGPA: 7.52      Application Details:     - Deadline: Jul 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.39"
61,"university of edinburgh in UK offers the program Machine Learning.      Admission Requirements:     - GRE Score: 325     - TOEFL Score: 117     - Minimum CGPA: 9.1      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 27000      Admission Insight:     - Chance of Admission: 0.82"
62,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 339     - TOEFL Score: 101     - Minimum CGPA: 9.86      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.81"
63,"rwth aachen in Germany offers the program Engineering.      Admission Requirements:     - GRE Score: 329     - TOEFL Score: 117     - Minimum CGPA: 6.82      Application Details:     - Deadline: Jul 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.52"
64,"uc berkeley in USA offers the program Electrical Engineering.      Admission Requirements:     - GRE Score: 293     - TOEFL Score: 93     - Minimum CGPA: 8.09      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof      Financial Information:     - Tuition Fee: 44000      Admission Insight:     - Chance of Admission: 0.33"
65,"heidelberg university in Germany offers the program Data Science.      Admission Requirements:     - GRE Score: 291     - TOEFL Score: 110     - Minimum CGPA: 7.15      Application Details:     - Deadline: Feb 01, 2026     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.31"
66,"university of manchester in UK offers the program Data Analytics.      Admission Requirements:     - GRE Score: 295     - TOEFL Score: 100     - Minimum CGPA: 9.17      Application Details:     - Deadline: Dec 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.44"
67,"university of toronto in Canada offers the program Computer Science.      Admission Requirements:     - GRE Score: 331     - TOEFL Score: 98     - Minimum CGPA: 8.31      Application Details:     - Deadline: Jul 15, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 28000      Admission Insight:     - Chance of Admission: 0.52"
68,"eth zurich in Switzerland offers the program Computer Science.      Admission Requirements:     - GRE Score: 293     - TOEFL Score: 95     - Minimum CGPA: 8.54      Application Details:     - Deadline: Jan 31, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, Motivation Letter, Research Proposal      Financial Information:     - Tuition Fee: 1500      Admission Insight:     - Chance of Admission: 0.3"
69,"university of toronto in Canada offers the program Computer Science.      Admission Requirements:     - GRE Score: 318     - TOEFL Score: 117     - Minimum CGPA: 9.19      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 28000      Admission Insight:     - Chance of Admission: 0.59"
70,"heidelberg university in Germany offers the program Data Science.      Admission Requirements:     - GRE Score: 307     - TOEFL Score: 112     - Minimum CGPA: 7.58      Application Details:     - Deadline: Feb 01, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.52"
71,"mcgill university in Canada offers the program Engineering.      Admission Requirements:     - GRE Score: 315     - TOEFL Score: 109     - Minimum CGPA: 9.66      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, GRE Score Report, Financial Proof, Study Permit      Financial Information:     - Tuition Fee: 24000      Admission Insight:     - Chance of Admission: 0.57"
72,"university of cambridge in UK offers the program Data Science.      Admission Requirements:     - GRE Score: 333     - TOEFL Score: 104     - Minimum CGPA: 8.13      Application Details:     - Deadline: Dec 15, 2024     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, IELTS/TOEFL Report, Financial Proof      Financial Information:     - Tuition Fee: 37000      Admission Insight:     - Chance of Admission: 0.63"
73,"tu munich in Germany offers the program Computer Science.      Admission Requirements:     - GRE Score: 323     - TOEFL Score: 102     - Minimum CGPA: 6.63      Application Details:     - Deadline: Jun 30, 2025     - Required Documents: SOP, LOR (3), Transcripts, Resume, Passport Copy, APS Certificate, Language Proficiency, Blocked Account Proof      Financial Information:     - Tuition Fee: 500      Admission Insight:     - Chance of Admission: 0.37"
